****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=100.
Parallel execution requested.  Will use 1 threads.
Random seed: 1693502757
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate at 200 iterations
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 36x1471
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.006	Loglikelihood: -46751.2	(delta): 30657
2 (EM) 	Elapsed: 0.006	Loglikelihood: -44495	(delta): 2256.24
3 (EM) 	Elapsed: 0.006	Loglikelihood: -43749.9	(delta): 745.047
4 (EM) 	Elapsed: 0.006	Loglikelihood: -43232.1	(delta): 517.837
5 (EM) 	Elapsed: 0.006	Loglikelihood: -42819	(delta): 413.052
Initial loglikelihood: -42819
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.024	Loglikelihood: -39956.3	(delta): 2862.74
2 (QN/Block) 	Elapsed: 0.023	Loglikelihood: -39132.8	(delta): 823.492
3 (QN/Block) 	Elapsed: 0.025	Loglikelihood: -38723.5	(delta): 409.272
4 (QN/Block) 	Elapsed: 0.025	Loglikelihood: -38468.1	(delta): 255.458
5 (QN/Block) 	Elapsed: 0.025	Loglikelihood: -38370	(delta): 98.0471
6 (QN/Block) 	Elapsed: 0.024	Loglikelihood: -38276.3	(delta): 93.7766
7 (QN/Block) 	Elapsed: 0.024	Loglikelihood: -38185.6	(delta): 90.6176
8 (QN/Block) 	Elapsed: 0.024	Loglikelihood: -38110.2	(delta): 75.4246
9 (QN/Block) 	Elapsed: 0.025	Loglikelihood: -38088.7	(delta): 21.5325
10 (QN/Block) 	Elapsed: 0.024	Loglikelihood: -38081.2	(delta): 7.5119
11 (QN/Block) 	Elapsed: 0.024	Loglikelihood: -38076	(delta): 5.16482
12 (QN/Block) 	Elapsed: 0.026	Loglikelihood: -38068.6	(delta): 7.36235
13 (QN/Block) 	Elapsed: 0.026	Loglikelihood: -38065.5	(delta): 3.16108
14 (QN/Block) 	Elapsed: 0.026	Loglikelihood: -38064.5	(delta): 1.0013
15 (QN/Block) 	Elapsed: 0.026	Loglikelihood: -38063.1	(delta): 1.3347
16 (QN/Block) 	Elapsed: 0.026	Loglikelihood: -38061	(delta): 2.15207
17 (QN/Block) 	Elapsed: 0.026	Loglikelihood: -38055.2	(delta): 5.82065
18 (QN/Block) 	Elapsed: 0.026	Loglikelihood: -38049.8	(delta): 5.40581
19 (QN/Block) 	Elapsed: 0.026	Loglikelihood: -38042	(delta): 7.79926
20 (QN/Block) 	Elapsed: 0.026	Loglikelihood: -38037.8	(delta): 4.14977
21 (QN/Block) 	Elapsed: 0.026	Loglikelihood: -38033	(delta): 4.7911
22 (QN/Block) 	Elapsed: 0.026	Loglikelihood: -38023.6	(delta): 9.37739
23 (QN/Block) 	Elapsed: 0.026	Loglikelihood: -38016.9	(delta): 6.78968
