****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=100.
Parallel execution requested.  Will use 1 threads.
Random seed: 1693502927
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate at 200 iterations
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 32x1471
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.007	Loglikelihood: -41451.4	(delta): 25134.1
2 (EM) 	Elapsed: 0.007	Loglikelihood: -39481.2	(delta): 1970.18
3 (EM) 	Elapsed: 0.007	Loglikelihood: -38779.9	(delta): 701.3
4 (EM) 	Elapsed: 0.007	Loglikelihood: -38266.8	(delta): 513.159
5 (EM) 	Elapsed: 0.007	Loglikelihood: -37837.3	(delta): 429.503
Initial loglikelihood: -37837.3
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.033	Loglikelihood: -34315.2	(delta): 3522.09
2 (QN/Block) 	Elapsed: 0.032	Loglikelihood: -33198.7	(delta): 1116.43
3 (QN/Block) 	Elapsed: 0.033	Loglikelihood: -32667.2	(delta): 531.585
4 (QN/Block) 	Elapsed: 0.033	Loglikelihood: -32300.1	(delta): 367.056
5 (QN/Block) 	Elapsed: 0.033	Loglikelihood: -32065.3	(delta): 234.841
6 (QN/Block) 	Elapsed: 0.032	Loglikelihood: -31939.5	(delta): 125.758
7 (QN/Block) 	Elapsed: 0.032	Loglikelihood: -31885.2	(delta): 54.3497
8 (QN/Block) 	Elapsed: 0.033	Loglikelihood: -31852.1	(delta): 33.0262
9 (QN/Block) 	Elapsed: 0.032	Loglikelihood: -31842.5	(delta): 9.60227
10 (QN/Block) 	Elapsed: 0.032	Loglikelihood: -31817.2	(delta): 25.3146
11 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -31804.5	(delta): 12.7242
12 (QN/Block) 	Elapsed: 0.032	Loglikelihood: -31800.4	(delta): 4.12307
13 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -31792.4	(delta): 8.00286
14 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -31780.6	(delta): 11.8082
15 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -31779.7	(delta): 0.889381
16 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -31775.8	(delta): 3.83952
17 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -31772.6	(delta): 3.21382
18 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -31771.1	(delta): 1.50745
19 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -31769.3	(delta): 1.851
20 (QN/Block) 	Elapsed: 0.033	Loglikelihood: -31765.6	(delta): 3.70444
21 (QN/Block) 	Elapsed: 0.032	Loglikelihood: -31757.5	(delta): 8.07579
22 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -31746.1	(delta): 11.3258
23 (QN/Block) 	Elapsed: 0.032	Loglikelihood: -31745.1	(delta): 1.01568
24 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -31745.1	(delta): 0.00161907
25 (QN/Block) 	Elapsed: 0.032	Loglikelihood: -31745.1	(delta): 0.000190078
26 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -31745.1	(delta): 6.21211e-06
27 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -31745.1	(delta): 2.64925e-07
28 (QN/Block) 	Elapsed: 0.031	Loglikelihood: -31745.1	(delta): 4.05198e-08
29 (QN/Block) 	Elapsed: 0.032	Loglikelihood: -31745.1	(delta): 2.91038e-11
30 (QN/Block) 	Elapsed: 0.032	Loglikelihood: -31745.1	(delta): -3.63798e-12
31 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -31745.1	(delta): 3.63798e-12
32 (QN/Block) 	Elapsed: 0.033	Loglikelihood: -31745.1	(delta): 0
33 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -31745.1	(delta): 0
34 (QN/Block) 	Elapsed: 0.031	Loglikelihood: -31745.1	(delta): 1.09139e-11
35 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -31745.1	(delta): -1.45519e-11
36 (QN/Block) 	Elapsed: 0.032	Loglikelihood: -31745.1	(delta): -7.27596e-12
37 (QN/Block) 	Elapsed: 0.032	Loglikelihood: -31745.1	(delta): -3.63798e-12
38 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -31745.1	(delta): 0
39 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -31745.1	(delta): 0
40 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -31745.1	(delta): 0
41 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -31745.1	(delta): 0
