****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=100.
Parallel execution requested.  Will use 1 threads.
Random seed: 1693502785
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate at 200 iterations
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 36x1471
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.008	Loglikelihood: -46384.4	(delta): 28959
2 (EM) 	Elapsed: 0.008	Loglikelihood: -44217.6	(delta): 2166.77
3 (EM) 	Elapsed: 0.008	Loglikelihood: -43480	(delta): 737.606
4 (EM) 	Elapsed: 0.008	Loglikelihood: -42948	(delta): 532.048
5 (EM) 	Elapsed: 0.008	Loglikelihood: -42509.6	(delta): 438.397
Initial loglikelihood: -42509.6
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.035	Loglikelihood: -39081.8	(delta): 3427.78
2 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -38100.1	(delta): 981.641
3 (QN/Block) 	Elapsed: 0.036	Loglikelihood: -37568.4	(delta): 531.734
4 (QN/Block) 	Elapsed: 0.036	Loglikelihood: -37193.4	(delta): 374.967
5 (QN/Block) 	Elapsed: 0.035	Loglikelihood: -36977.1	(delta): 216.303
6 (QN/Block) 	Elapsed: 0.035	Loglikelihood: -36785.9	(delta): 191.242
7 (QN/Block) 	Elapsed: 0.035	Loglikelihood: -36674.7	(delta): 111.155
8 (QN/Block) 	Elapsed: 0.035	Loglikelihood: -36605.6	(delta): 69.1611
9 (QN/Block) 	Elapsed: 0.035	Loglikelihood: -36558.4	(delta): 47.2103
10 (QN/Block) 	Elapsed: 0.035	Loglikelihood: -36541.3	(delta): 17.0199
11 (QN/Block) 	Elapsed: 0.035	Loglikelihood: -36523.3	(delta): 18.0389
12 (QN/Block) 	Elapsed: 0.035	Loglikelihood: -36516.7	(delta): 6.5708
13 (QN/Block) 	Elapsed: 0.037	Loglikelihood: -36510.7	(delta): 6.07395
14 (QN/Block) 	Elapsed: 0.037	Loglikelihood: -36502.5	(delta): 8.13586
15 (QN/Block) 	Elapsed: 0.035	Loglikelihood: -36496.9	(delta): 5.58331
